userID,emotionType,emojiSentence,imageName,songID,publicPost,postLat,postLon,timeServer,timePost,day,month,hour,min
10001000,1,N1F600,sample.png,null,0,53.31491112,-6.229696,2014-11-08 22:20.30,2014-11-08 22:20.30,08,11,22,20
20002000,2,N1F610,sample.png,null,1,53.38554602,-6.2395373,2014-07-01 05:22.30,2014-07-01 05:22.30,01,07,05,22
10001000,3,N1F620,sample.png,null,0,53.31488173,-6.24602676,2014-08-17 21:51.30,2014-08-17 21:51.30,17,08,21,51
20002000,4,N1F630,sample.png,null,1,53.32410804,-6.31277589,2014-08-08 18:51.30,2014-08-08 18:51.30,08,08,18,51
10001000,5,N1F640,sample.png,null,1,53.39354991,-6.31091673,2014-09-07 11:30.30,2014-09-07 11:30.30,07,09,11,30
20002000,6,N1F650,sample.png,null,0,53.32423879,-6.24982902,2014-11-01 03:24.30,2014-11-01 03:24.30,01,11,03,24
10001000,1,N1F600,sample.png,null,0,53.3623922,-6.23850767,2014-03-20 10:57.30,2014-03-20 10:57.30,20,03,10,57
20002000,2,N1F610,sample.png,null,1,53.3830645,-6.19931751,2014-08-28 12:33.30,2014-08-28 12:33.30,28,08,12,33
10001000,3,N1F620,sample.png,null,0,53.37494471,-6.3251803,2014-01-23 21:05.30,2014-01-23 21:05.30,23,01,21,05
20002000,4,N1F630,sample.png,null,1,53.37630272,-6.25640223,2014-03-27 05:59.30,2014-03-27 05:59.30,27,03,05,59
10001000,5,N1F640,sample.png,null,1,53.32650918,-6.25384051,2014-06-24 10:54.30,2014-06-24 10:54.30,24,06,10,54
20002000,6,N1F650,sample.png,null,0,53.31766808,-6.27159447,2014-01-06 06:22.30,2014-01-06 06:22.30,06,01,06,22
10001000,1,N1F600,sample.png,null,0,53.34367909,-6.33776108,2014-10-04 19:21.30,2014-10-04 19:21.30,04,10,19,21
20002000,2,N1F610,sample.png,null,1,53.35083469,-6.21528615,2014-11-07 22:23.30,2014-11-07 22:23.30,07,11,22,23
10001000,3,N1F620,sample.png,null,0,53.30500458,-6.30667951,2014-10-09 03:59.30,2014-10-09 03:59.30,09,10,03,59
20002000,4,N1F630,sample.png,null,1,53.30201469,-6.27463443,2014-12-13 03:25.30,2014-12-13 03:25.30,13,12,03,25
10001000,5,N1F640,sample.png,null,1,53.39304228,-6.31379278,2014-02-05 12:30.30,2014-02-05 12:30.30,05,02,12,30
20002000,6,N1F650,sample.png,null,0,53.36294338,-6.29788821,2014-07-17 23:44.30,2014-07-17 23:44.30,17,07,23,44
10001000,1,N1F600,sample.png,null,0,53.33249288,-6.31211997,2014-07-26 16:39.30,2014-07-26 16:39.30,26,07,16,39
20002000,2,N1F610,sample.png,null,1,53.39291512,-6.22328601,2014-02-28 00:59.30,2014-02-28 00:59.30,28,02,00,59
10001000,3,N1F620,sample.png,null,0,53.36391186,-6.31964633,2014-10-25 21:25.30,2014-10-25 21:25.30,25,10,21,25
20002000,4,N1F630,sample.png,null,1,53.36814145,-6.20618914,2014-05-13 17:14.30,2014-05-13 17:14.30,13,05,17,14
10001000,5,N1F640,sample.png,null,1,53.32470698,-6.21040402,2014-06-21 20:58.30,2014-06-21 20:58.30,21,06,20,58
20002000,6,N1F650,sample.png,null,0,53.34794101,-6.17122071,2014-02-06 16:17.30,2014-02-06 16:17.30,06,02,16,17
10001000,1,N1F600,sample.png,null,0,53.3208719,-6.28102519,2014-07-17 10:29.30,2014-07-17 10:29.30,17,07,10,29
20002000,2,N1F610,sample.png,null,1,53.39906453,-6.25491742,2014-09-21 08:12.30,2014-09-21 08:12.30,21,09,08,12
10001000,3,N1F620,sample.png,null,0,53.31320033,-6.23255189,2014-09-22 08:42.30,2014-09-22 08:42.30,22,09,08,42
20002000,4,N1F630,sample.png,null,1,53.34995521,-6.21655318,2014-05-18 20:27.30,2014-05-18 20:27.30,18,05,20,27
10001000,5,N1F640,sample.png,null,1,53.37796381,-6.22006773,2014-12-02 12:41.30,2014-12-02 12:41.30,02,12,12,41
20002000,6,N1F650,sample.png,null,0,53.39887751,-6.26664662,2014-02-19 13:35.30,2014-02-19 13:35.30,19,02,13,35
10001000,1,N1F600,sample.png,null,0,53.33267454,-6.32511865,2014-01-21 09:29.30,2014-01-21 09:29.30,21,01,09,29
20002000,2,N1F610,sample.png,null,1,53.35110046,-6.35018228,2014-02-14 08:46.30,2014-02-14 08:46.30,14,02,08,46
10001000,3,N1F620,sample.png,null,0,53.33230933,-6.17665467,2014-04-26 01:26.30,2014-04-26 01:26.30,26,04,01,26
20002000,4,N1F630,sample.png,null,1,53.30691396,-6.25888874,2014-10-05 10:01.30,2014-10-05 10:01.30,05,10,10,01
10001000,5,N1F640,sample.png,null,1,53.30095323,-6.22655445,2014-11-21 22:53.30,2014-11-21 22:53.30,21,11,22,53
20002000,6,N1F650,sample.png,null,0,53.39719927,-6.25876852,2014-09-04 14:27.30,2014-09-04 14:27.30,04,09,14,27
10001000,1,N1F600,sample.png,null,0,53.35063818,-6.32656354,2014-02-23 20:59.30,2014-02-23 20:59.30,23,02,20,59
20002000,2,N1F610,sample.png,null,1,53.36241642,-6.30996452,2014-05-08 05:08.30,2014-05-08 05:08.30,08,05,05,08
10001000,3,N1F620,sample.png,null,0,53.31650069,-6.32597439,2014-08-11 07:04.30,2014-08-11 07:04.30,11,08,07,04
20002000,4,N1F630,sample.png,null,1,53.35440453,-6.31952086,2014-06-25 22:07.30,2014-06-25 22:07.30,25,06,22,07
10001000,5,N1F640,sample.png,null,1,53.36123912,-6.31410643,2014-05-16 12:49.30,2014-05-16 12:49.30,16,05,12,49
20002000,6,N1F650,sample.png,null,0,53.38764721,-6.31208906,2014-02-26 01:45.30,2014-02-26 01:45.30,26,02,01,45
10001000,1,N1F600,sample.png,null,0,53.35388055,-6.34969716,2014-09-12 08:59.30,2014-09-12 08:59.30,12,09,08,59
20002000,2,N1F610,sample.png,null,1,53.35378403,-6.31429431,2014-10-02 17:09.30,2014-10-02 17:09.30,02,10,17,09
10001000,3,N1F620,sample.png,null,0,53.36992037,-6.25808434,2014-02-22 19:01.30,2014-02-22 19:01.30,22,02,19,01
20002000,4,N1F630,sample.png,null,1,53.39110679,-6.25408986,2014-11-14 02:06.30,2014-11-14 02:06.30,14,11,02,06
